"Step","lr_test: 1e-05 - train_loss","lr_test: 1e-05 - train_loss__MIN","lr_test: 1e-05 - train_loss__MAX","lr_test: 5e-05 - train_loss","lr_test: 5e-05 - train_loss__MIN","lr_test: 5e-05 - train_loss__MAX","lr_test: 0.0001 - train_loss","lr_test: 0.0001 - train_loss__MIN","lr_test: 0.0001 - train_loss__MAX","lr_test: 0.0005 - train_loss","lr_test: 0.0005 - train_loss__MIN","lr_test: 0.0005 - train_loss__MAX","lr_test: 0.001 - train_loss","lr_test: 0.001 - train_loss__MIN","lr_test: 0.001 - train_loss__MAX"
"65","-11.97834914243674","-11.97834914243674","-11.97834914243674","-11.996242873276337","-11.996242873276337","-11.996242873276337","-11.987619967400272","-11.987619967400272","-11.987619967400272","-11.985172513165052","-11.985172513165052","-11.985172513165052","-11.994909612438347","-11.994909612438347","-11.994909612438347"
"66","-11.982065345667586","-11.982065345667586","-11.982065345667586","-11.995635877681684","-11.995635877681684","-11.995635877681684","-11.99417616445807","-11.99417616445807","-11.99417616445807","-11.976313506500631","-11.976313506500631","-11.976313506500631","-11.974086363104325","-11.974086363104325","-11.974086363104325"
"67","-11.979813624031936","-11.979813624031936","-11.979813624031936","-11.99817323081101","-11.99817323081101","-11.99817323081101","-12.004231151146225","-12.004231151146225","-12.004231151146225","-11.995772373827197","-11.995772373827197","-11.995772373827197","-11.978461289707619","-11.978461289707619","-11.978461289707619"
"68","-11.98015315623223","-11.98015315623223","-11.98015315623223","-11.998546298546128","-11.998546298546128","-11.998546298546128","-12.007530055468596","-12.007530055468596","-12.007530055468596","-11.997767267347891","-11.997767267347891","-11.997767267347891","-11.981327648404278","-11.981327648404278","-11.981327648404278"
"69","-11.978814656221413","-11.978814656221413","-11.978814656221413","-11.993327599537524","-11.993327599537524","-11.993327599537524","-12.007226304162907","-12.007226304162907","-12.007226304162907","-11.990293128580987","-11.990293128580987","-11.990293128580987","-11.991269920445696","-11.991269920445696","-11.991269920445696"
"70","-11.981915751590005","-11.981915751590005","-11.981915751590005","-11.995319281952291","-11.995319281952291","-11.995319281952291","-12.006894135776955","-12.006894135776955","-12.006894135776955","-11.999971051759358","-11.999971051759358","-11.999971051759358","-11.988156330736377","-11.988156330736377","-11.988156330736377"
"71","-11.97923296916334","-11.97923296916334","-11.97923296916334","-11.990976393977299","-11.990976393977299","-11.990976393977299","-12.007297286504432","-12.007297286504432","-12.007297286504432","-11.999139097672474","-11.999139097672474","-11.999139097672474","-11.990250877187222","-11.990250877187222","-11.990250877187222"
"72","-11.981116222429879","-11.981116222429879","-11.981116222429879","-11.99046934103664","-11.99046934103664","-11.99046934103664","-12.007407864437827","-12.007407864437827","-12.007407864437827","-11.9783244314073","-11.9783244314073","-11.9783244314073","-11.993233668653271","-11.993233668653271","-11.993233668653271"
"73","-11.978950910930392","-11.978950910930392","-11.978950910930392","-11.986099943330016","-11.986099943330016","-11.986099943330016","-12.000022622603405","-12.000022622603405","-12.000022622603405","-11.99566116815881","-11.99566116815881","-11.99566116815881","-11.986272232441962","-11.986272232441962","-11.986272232441962"
"74","-11.981038021135934","-11.981038021135934","-11.981038021135934","-11.992168366154537","-11.992168366154537","-11.992168366154537","-12.00282269489916","-12.00282269489916","-12.00282269489916","-11.997378180298623","-11.997378180298623","-11.997378180298623","-11.985693979866896","-11.985693979866896","-11.985693979866896"
"75","-11.980622158774846","-11.980622158774846","-11.980622158774846","-11.99108965185624","-11.99108965185624","-11.99108965185624","-12.00183398814141","-12.00183398814141","-12.00183398814141","-11.99364569217344","-11.99364569217344","-11.99364569217344","-11.986524424975432","-11.986524424975432","-11.986524424975432"
"76","-11.982627820365037","-11.982627820365037","-11.982627820365037","-11.995335385769229","-11.995335385769229","-11.995335385769229","-11.9956373263009","-11.9956373263009","-11.9956373263009","-11.9927514836758","-11.9927514836758","-11.9927514836758","-11.983738126634043","-11.983738126634043","-11.983738126634043"
"77","-11.983463818513894","-11.983463818513894","-11.983463818513894","-11.997491076022763","-11.997491076022763","-11.997491076022763","-11.99821689460851","-11.99821689460851","-11.99821689460851","-11.990289941618714","-11.990289941618714","-11.990289941618714","-11.988563706603232","-11.988563706603232","-11.988563706603232"
"78","-11.983613992039162","-11.983613992039162","-11.983613992039162","-11.998401400409167","-11.998401400409167","-11.998401400409167","-11.998016441924662","-11.998016441924662","-11.998016441924662","-11.997506890115858","-11.997506890115858","-11.997506890115858","-11.985051336167734","-11.985051336167734","-11.985051336167734"
"79","-11.982565553882454","-11.982565553882454","-11.982565553882454","-11.996740848203249","-11.996740848203249","-11.996740848203249","-12.001161273521713","-12.001161273521713","-12.001161273521713","-11.999570291253585","-11.999570291253585","-11.999570291253585","-11.991846845119815","-11.991846845119815","-11.991846845119815"
"80","-11.98031275785422","-11.98031275785422","-11.98031275785422","-11.997053424014322","-11.997053424014322","-11.997053424014322","-12.00122029268289","-12.00122029268289","-12.00122029268289","-11.99451601052586","-11.99451601052586","-11.99451601052586","-11.993788864039168","-11.993788864039168","-11.993788864039168"
"81","-11.98356852953947","-11.98356852953947","-11.98356852953947","-11.996148930320256","-11.996148930320256","-11.996148930320256","-11.997953113121323","-11.997953113121323","-11.997953113121323","-11.989426830146886","-11.989426830146886","-11.989426830146886","-11.989037284368202","-11.989037284368202","-11.989037284368202"
"82","-11.983799608447884","-11.983799608447884","-11.983799608447884","-11.994013653525823","-11.994013653525823","-11.994013653525823","-11.998696991159946","-11.998696991159946","-11.998696991159946","-11.997630928136125","-11.997630928136125","-11.997630928136125","-11.98639803294894","-11.98639803294894","-11.98639803294894"
"83","-11.985734758497793","-11.985734758497793","-11.985734758497793","-11.997496122046362","-11.997496122046362","-11.997496122046362","-11.996753089035614","-11.996753089035614","-11.996753089035614","-11.9944356845904","-11.9944356845904","-11.9944356845904","-11.999939821943451","-11.999939821943451","-11.999939821943451"
"84","-11.984623401979857","-11.984623401979857","-11.984623401979857","-11.995939363407183","-11.995939363407183","-11.995939363407183","-11.997896158242527","-11.997896158242527","-11.997896158242527","-11.98341310476955","-11.98341310476955","-11.98341310476955","-11.995137878611118","-11.995137878611118","-11.995137878611118"
"85","-11.986340402047846","-11.986340402047846","-11.986340402047846","-11.998515394669544","-11.998515394669544","-11.998515394669544","-11.999235442922085","-11.999235442922085","-11.999235442922085","-11.983319620542888","-11.983319620542888","-11.983319620542888","-11.981773967984356","-11.981773967984356","-11.981773967984356"
"86","-11.984194357183915","-11.984194357183915","-11.984194357183915","-11.997759831102588","-11.997759831102588","-11.997759831102588","-12.001817485954188","-12.001817485954188","-12.001817485954188","-12.001256411588646","-12.001256411588646","-12.001256411588646","-11.975771650483336","-11.975771650483336","-11.975771650483336"
"87","-11.983360652682148","-11.983360652682148","-11.983360652682148","-11.997288981570474","-11.997288981570474","-11.997288981570474","-11.996032763131057","-11.996032763131057","-11.996032763131057","-11.905771279636818","-11.905771279636818","-11.905771279636818","-11.980306637438037","-11.980306637438037","-11.980306637438037"
"88","-11.986758292475834","-11.986758292475834","-11.986758292475834","-12.000999221318885","-12.000999221318885","-12.000999221318885","-11.996923845025558","-11.996923845025558","-11.996923845025558","-11.919650524477415","-11.919650524477415","-11.919650524477415","-11.981448982335344","-11.981448982335344","-11.981448982335344"
"89","-11.984890865374215","-11.984890865374215","-11.984890865374215","-11.997171872778784","-11.997171872778784","-11.997171872778784","-11.992198388787765","-11.992198388787765","-11.992198388787765","-11.989039517656158","-11.989039517656158","-11.989039517656158","-11.980598968795583","-11.980598968795583","-11.980598968795583"
